record_id,document_type,image_filename,extracted_date,extracted_store_or_dept,extracted_amount,extracted_scores,extracted_note,confidence,preprocessing_used,error_message
R-0075,receipt,data/input_images/receipts/receipt_075_R-0075.jpg,2026-05-09,서울프린트,112750,,팀 회의 사용,0.9734,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0042,survey,data/input_images/surveys/survey_042_S-0042.jpg,2026-05-10,데이터팀,,"3,5,4",보고서 자동화 유용,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0013,receipt,data/input_images/receipts/receipt_013_R-0013.jpg,2026-05-24,클라우드문구,126500,,실습 준비용,0.9793,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0071,survey,data/input_images/surveys/survey_071_S-0071.jpg,2026-07-05,데이터팀,,"5,2,2",데이터 보정 기능 좋음,0.9657,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0114,survey,data/input_images/surveys/survey_114_S-0114.jpg,2026-03-21,운영팀,,"4,3,4",속도 개선 필요,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0049,survey,data/input_images/surveys/survey_049_S-0049.jpg,2026-06-26,교육팀,,"5,4,1",차트 설명이 필요함,0.9722,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0049,receipt,data/input_images/receipts/receipt_049_R-0049.jpg,2026-03-28,테크문구,115500,,OCR 테스트용,0.96,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0076,survey,data/input_images/surveys/survey_076_S-0076.jpg,2026-05-06,인사팀,,"5,5,3",메뉴 구성이 좋음,0.9722,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0095,receipt,data/input_images/receipts/receipt_095_R-0095.jpg,2026-03-08,스마트오피스,125950,,운영비 처리,0.9722,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0016,receipt,data/input_images/receipts/receipt_016_R-0016.jpg,2026-07-05,모두카페,79750,,OCR 테스트용,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0006,survey,data/input_images/surveys/survey_006_S-0006.jpg,2026-06-09,인사팀,,"3,5,5",보고서 자동화 유용,0.9442,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0061,receipt,data/input_images/receipts/receipt_061_R-0061.jpg,2026-06-04,데이터랩서점,255200,,운영비 처리,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0035,receipt,data/input_images/receipts/receipt_035_R-0035.jpg,2026-04-12,클라우드문구,132000,,운영비 처리,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0085,survey,data/input_images/surveys/survey_085_S-0085.jpg,2026-05-24,재무팀,,"3,3,1",속도 개선 필요,0.9422,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0084,receipt,data/input_images/receipts/receipt_084_R-0084.jpg,2026-05-26,서울프린트,134200,,팀 회의 사용,0.9834,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0103,survey,data/input_images/surveys/survey_103_S-0103.jpg,2026-05-31,인사팀,,"5,5,3",OCR 결과 확인 필요,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0065,survey,data/input_images/surveys/survey_065_S-0065.jpg,2026-06-05,교육팀,,"2,3,2",차트 설명이 필요함,0.9734,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0073,survey,data/input_images/surveys/survey_073_S-0073.jpg,2026-06-08,마케팅팀,,"4,3,2",대시보드가 보기 쉬움,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0014,survey,data/input_images/surveys/survey_014_S-0014.jpg,2026-04-24,데이터팀,,"5,2,3",OCR 결과 확인 필요,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0048,survey,data/input_images/surveys/survey_048_S-0048.jpg,2026-06-26,기획팀,,"5,5,1",입력 절차가 간단함,0.96,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0085,receipt,data/input_images/receipts/receipt_085_R-0085.jpg,2026-07-01,스마트오피스,219450,,실습 준비용,0.96,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0001,receipt,data/input_images/receipts/receipt_001_R-0001.jpg,2026-05-10,모두카페,114950,,현장 실습비,0.9378,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0096,receipt,data/input_images/receipts/receipt_096_R-0096.jpg,2026-04-14,테크문구,137500,,OCR 테스트용,0.987,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0100,receipt,data/input_images/receipts/receipt_100_R-0100.jpg,2026-04-20,클라우드문구,83050,,운영비 처리,0.9578,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0077,survey,data/input_images/surveys/survey_077_S-0077.jpg,2026-05-08,운영팀,,"4,5,1",메뉴 구성이 좋음,0.987,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0079,survey,data/input_images/surveys/survey_079_S-0079.jpg,2026-06-28,교육팀,,"2,3,3",차트 설명이 필요함,0.9503,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0047,receipt,data/input_images/receipts/receipt_047_R-0047.jpg,2026-06-03,데이터랩서점,73150,,교육자료 준비,0.978,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0009,receipt,data/input_images/receipts/receipt_009_R-0009.jpg,2026-03-04,데이터랩서점,180950,,대시보드 검토,0.9757,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0038,receipt,data/input_images/receipts/receipt_038_R-0038.jpg,2026-04-01,데이터랩서점,123750,,프로젝트 자료,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0035,survey,data/input_images/surveys/survey_035_S-0035.jpg,2026-05-06,운영팀,,"2,5,1",차트 설명이 필요함,0.9757,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0076,receipt,data/input_images/receipts/receipt_076_R-0076.jpg,2026-04-15,업무자동화카페,122100,,교육자료 준비,0.96,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0075,survey,data/input_images/surveys/survey_075_S-0075.jpg,2026-05-12,운영팀,,"5,2,3",대시보드가 보기 쉬움,0.96,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0003,receipt,data/input_images/receipts/receipt_003_R-0003.jpg,2026-04-28,클라우드문구,43450,,교육자료 준비,0.9849,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0026,survey,data/input_images/surveys/survey_026_S-0026.jpg,2026-03-27,재무팀,,"4,5,1",모바일 화면 개선,0.9757,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0074,receipt,data/input_images/receipts/receipt_074_R-0074.jpg,2026-04-02,테크문구,150150,,현장 실습비,0.978,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0067,receipt,data/input_images/receipts/receipt_067_R-0067.jpg,2026-05-02,서울프린트,145200,,대시보드 검토,0.96,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0018,receipt,data/input_images/receipts/receipt_018_R-0018.jpg,2026-04-25,스마트오피스,183700,,현장 실습비,0.9657,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0081,survey,data/input_images/surveys/survey_081_S-0081.jpg,2026-06-26,재무팀,,"4,3,4",속도 개선 필요,0.9732,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0061,survey,data/input_images/surveys/survey_061_S-0061.jpg,2026-04-07,마케팅팀,,"5,5,4",속도 개선 필요,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0046,receipt,data/input_images/receipts/receipt_046_R-0046.jpg,2026-05-13,디지털스캔샵,162250,,OCR 테스트용,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0030,receipt,data/input_images/receipts/receipt_030_R-0030.jpg,2026-06-25,디지털스캔샵,194700,,대시보드 검토,0.9849,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0093,survey,data/input_images/surveys/survey_093_S-0093.jpg,2026-04-29,재무팀,,"3,2,3",이미지 업로드 편리,0.96,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0016,survey,data/input_images/surveys/survey_016_S-0016.jpg,2026-04-07,데이터팀,,"2,3,5",입력 절차가 간단함,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0005,survey,data/input_images/surveys/survey_005_S-0005.jpg,2026-05-19,운영팀,,"3,5,5",속도 개선 필요,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0012,receipt,data/input_images/receipts/receipt_012_R-0012.jpg,2026-03-17,디지털스캔샵,147950,,운영비 처리,0.9849,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0051,survey,data/input_images/surveys/survey_051_S-0051.jpg,2026-06-01,교육팀,,"5,4,1",이미지 업로드 편리,0.9442,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0003,survey,data/input_images/surveys/survey_003_S-0003.jpg,2026-03-20,마케팅팀,,"5,2,4",모바일 화면 개선,0.9793,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0019,receipt,data/input_images/receipts/receipt_019_R-0019.jpg,2026-05-15,테크문구,38500,,팀 회의 사용,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0028,survey,data/input_images/surveys/survey_028_S-0028.jpg,2026-05-21,기획팀,,"3,2,2",입력 절차가 간단함,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0025,receipt,data/input_images/receipts/receipt_025_R-0025.jpg,2026-05-03,AI세미나센터,207350,,프로젝트 자료,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0069,survey,data/input_images/surveys/survey_069_S-0069.jpg,2026-05-26,교육팀,,"4,4,2",메뉴 구성이 좋음,0.9458,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0063,survey,data/input_images/surveys/survey_063_S-0063.jpg,2026-04-10,운영팀,,"5,4,4",차트 설명이 필요함,0.9532,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0101,survey,data/input_images/surveys/survey_101_S-0101.jpg,2026-05-28,재무팀,,"5,2,5",이미지 업로드 편리,0.9749,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0104,receipt,data/input_images/receipts/receipt_104_R-0104.jpg,2026-04-16,스마트오피스,271700,,교육자료 준비,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0091,survey,data/input_images/surveys/survey_091_S-0091.jpg,2026-06-11,마케팅팀,,"5,2,4",보고서 자동화 유용,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0116,receipt,data/input_images/receipts/receipt_116_R-0116.jpg,2026-03-02,디지털스캔샵,174350,,교육자료 준비,0.9745,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0088,receipt,data/input_images/receipts/receipt_088_R-0088.jpg,2026-05-28,테크문구,183150,,교육자료 준비,0.9558,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0041,survey,data/input_images/surveys/survey_041_S-0041.jpg,2026-03-22,기획팀,,"5,3,1",메뉴 구성이 좋음,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0071,receipt,data/input_images/receipts/receipt_071_R-0071.jpg,2026-06-24,테크문구,211200,,팀 회의 사용,0.9745,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0022,receipt,data/input_images/receipts/receipt_022_R-0022.jpg,2026-05-18,AI세미나센터,161150,,운영비 처리,0.9793,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0017,survey,data/input_images/surveys/survey_017_S-0017.jpg,2026-03-06,기획팀,,"3,2,5",차트 설명이 필요함,0.9657,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0050,receipt,data/input_images/receipts/receipt_050_R-0050.jpg,2026-03-29,데이터랩서점,189750,,대시보드 검토,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0004,survey,data/input_images/surveys/survey_004_S-0004.jpg,2026-06-07,영업팀,,"3,5,4",데이터 보정 기능 좋음,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0116,survey,data/input_images/surveys/survey_116_S-0116.jpg,2026-06-16,운영팀,,"2,4,1",OCR 결과 확인 필요,0.9457,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0042,receipt,data/input_images/receipts/receipt_042_R-0042.jpg,2026-06-13,테크문구,168850,,교육자료 준비,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0119,survey,data/input_images/surveys/survey_119_S-0119.jpg,2026-07-09,마케팅팀,,"2,5,2",대시보드가 보기 쉬움,0.9834,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0091,receipt,data/input_images/receipts/receipt_091_R-0091.jpg,2026-05-17,서울프린트,121000,,교육자료 준비,0.9732,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0108,receipt,data/input_images/receipts/receipt_108_R-0108.jpg,2026-06-09,디지털스캔샵,253000,,실습 준비용,0.9657,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0094,survey,data/input_images/surveys/survey_094_S-0094.jpg,2026-07-02,운영팀,,"4,5,4",대시보드가 보기 쉬움,0.9722,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0012,survey,data/input_images/surveys/survey_012_S-0012.jpg,2026-05-12,재무팀,,"2,2,1",이미지 업로드 편리,0.9793,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0045,receipt,data/input_images/receipts/receipt_045_R-0045.jpg,2026-05-30,모두카페,229900,,교육자료 준비,0.9657,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0018,survey,data/input_images/surveys/survey_018_S-0018.jpg,2026-07-07,인사팀,,"4,5,5",차트 설명이 필요함,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0043,survey,data/input_images/surveys/survey_043_S-0043.jpg,2026-03-20,교육팀,,"2,4,3",이미지 업로드 편리,0.9745,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0089,receipt,data/input_images/receipts/receipt_089_R-0089.jpg,2026-03-02,그린오피스,228800,,실습 준비용,0.9503,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0054,survey,data/input_images/surveys/survey_054_S-0054.jpg,2026-04-30,마케팅팀,,"2,3,2",데이터 보정 기능 좋음,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0089,survey,data/input_images/surveys/survey_089_S-0089.jpg,2026-04-02,데이터팀,,"3,4,2",보고서 자동화 유용,0.9481,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0107,survey,data/input_images/surveys/survey_107_S-0107.jpg,2026-07-06,데이터팀,,"3,4,5",메뉴 구성이 좋음,0.9657,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0009,survey,data/input_images/surveys/survey_009_S-0009.jpg,2026-03-07,기획팀,,"5,3,3",입력 절차가 간단함,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0008,survey,data/input_images/surveys/survey_008_S-0008.jpg,2026-04-03,재무팀,,"3,5,5",입력 절차가 간단함,0.9757,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0078,survey,data/input_images/surveys/survey_078_S-0078.jpg,2026-04-30,영업팀,,"4,2,5",이미지 업로드 편리,0.9458,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0068,receipt,data/input_images/receipts/receipt_068_R-0068.jpg,2026-06-19,그린오피스,223300,,프로젝트 자료,0.9722,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0064,receipt,data/input_images/receipts/receipt_064_R-0064.jpg,2026-05-31,서울프린트,125950,,프로젝트 자료,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0099,receipt,data/input_images/receipts/receipt_099_R-0099.jpg,2026-04-06,스마트오피스,77550,,운영비 처리,0.9581,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0094,receipt,data/input_images/receipts/receipt_094_R-0094.jpg,2026-06-12,디지털스캔샵,209000,,OCR 테스트용,0.95,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0031,survey,data/input_images/surveys/survey_031_S-0031.jpg,2026-03-06,데이터팀,,"2,4,2",모바일 화면 개선,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0068,survey,data/input_images/surveys/survey_068_S-0068.jpg,2026-03-09,운영팀,,"5,3,5",메뉴 구성이 좋음,0.987,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0088,survey,data/input_images/surveys/survey_088_S-0088.jpg,2026-03-14,기획팀,,"4,2,3",보고서 자동화 유용,0.9403,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0046,survey,data/input_images/surveys/survey_046_S-0046.jpg,2026-06-29,인사팀,,"4,5,4",차트 설명이 필요함,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0047,survey,data/input_images/surveys/survey_047_S-0047.jpg,2026-03-10,데이터팀,,"4,2,1",모바일 화면 개선,0.9834,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0011,survey,data/input_images/surveys/survey_011_S-0011.jpg,2026-07-01,교육팀,,"2,4,5",OCR 결과 확인 필요,0.9849,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0105,survey,data/input_images/surveys/survey_105_S-0105.jpg,2026-04-08,영업팀,,"4,4,4",보고서 자동화 유용,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0007,survey,data/input_images/surveys/survey_007_S-0007.jpg,2026-03-31,인사팀,,"2,5,5",속도 개선 필요,0.9745,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0081,receipt,data/input_images/receipts/receipt_081_R-0081.jpg,2026-07-09,모두카페,347050,,운영비 처리,0.9657,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0109,receipt,data/input_images/receipts/receipt_109_R-0109.jpg,2026-03-16,스마트오피스,178200,,실습 준비용,0.9732,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0103,receipt,data/input_images/receipts/receipt_103_R-0103.jpg,2026-04-29,서울프린트,165000,,현장 실습비,0.9693,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0073,receipt,data/input_images/receipts/receipt_073_R-0073.jpg,2026-04-10,테크문구,61600,,프로젝트 자료,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0060,receipt,data/input_images/receipts/receipt_060_R-0060.jpg,2026-06-30,테크문구,147950,,OCR 테스트용,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0113,survey,data/input_images/surveys/survey_113_S-0113.jpg,2026-05-26,재무팀,,"4,2,2",입력 절차가 간단함,0.962,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
